885,422740525  0
897,667638484  1,32743362832e-26
913,994169096  2,65486725664e-26
921,574344023  3,98230088496e-26
930,903790087  5,30973451327e-26
947,2303207  5,30973451327e-26
950,728862974  6,63716814159e-26
955,976676385  7,96460176991e-26
958,309037901  9,29203539823e-26
960,058309038  1,06194690265e-25
963,556851312  1,46017699115e-25
967,638483965  2,38938053097e-25
969,387755102  3,45132743363e-25
970,55393586  4,91150442478e-25
971,137026239  6,50442477876e-25
971,720116618  8,62831858407e-25
972,303206997  1,07522123894e-24
972,886297376  1,31415929204e-24
973,469387755  1,63274336283e-24
974,052478134  1,8982300885e-24
974,635568513  2,17699115044e-24
975,218658892  2,36283185841e-24
975,801749271  2,62831858407e-24
976,967930029  2,48230088496e-24
977,551020408  2,29646017699e-24
978,134110787  2,08407079646e-24
978,717201166  1,84513274336e-24
979,300291545  1,55309734513e-24
979,883381924  1,32743362832e-24
980,466472303  1,1017699115e-24
981,049562682  9,02654867257e-25
981,632653061  7,56637168142e-25
982,798833819  5,30973451327e-25
983,965014577  3,98230088496e-25
986,297376093  3,05309734513e-25
988,629737609  2,65486725664e-25
995,043731778  2,52212389381e-25
998,542274052  2,9203539823e-25
1003,79008746  3,3185840708e-25
1008,4548105  4,24778761062e-25
1013,11953353  4,91150442478e-25
1017,20116618  5,57522123894e-25
1019,5335277  5,8407079646e-25
1024,78134111  6,37168141593e-25
1030,6122449  6,37168141593e-25
1038,7755102  5,30973451327e-25
1044,60641399  4,51327433628e-25
1049,85422741  3,98230088496e-25
1055,10204082  3,45132743363e-25
1059,76676385  3,3185840708e-25
1068,51311953  2,9203539823e-25
1076,67638484  2,65486725664e-25
1087,75510204  2,12389380531e-25
1099,41690962  1,72566371681e-25
1114,57725948  1,19469026549e-25
1126,82215743  7,96460176991e-26
1140,23323615  5,30973451327e-26
